run_id,population_size,mutation_rate,generations,crossover_rate,best_x,best_y,best_value,distance_to_optimum,comment
exp_1,30,0.03,120,0.85,0.722785,0.521731,0.07689549,0.55280126,низкая мутация: слабое исследование пространства; маленькая популяция; найдено хорошее приближение
exp_2,50,0.1,120,0.85,0.999111,0.998359,2.67e-06,0.00186656,сбалансированная мутация; средняя популяция; решение близко к глобальному минимуму
exp_3,100,0.1,120,0.85,0.973307,0.947326,0.00071253,0.05905142,сбалансированная мутация; большая популяция; решение близко к глобальному минимуму
exp_4,50,0.25,120,0.85,0.992051,0.984155,6.319e-05,0.01772678,высокая мутация: больше случайности; средняя популяция; решение близко к глобальному минимуму
