episode,reward,steps_survived
391,200.00,200
392,16.00,27
393,200.00,200
394,200.00,200
395,19.00,30
396,200.00,200
397,62.00,73
398,200.00,200
399,200.00,200
400,200.00,200
401,200.00,200
402,128.00,139
403,12.00,23
404,200.00,200
405,200.00,200
406,145.00,156
407,130.00,141
408,35.00,46
409,161.00,172
410,37.00,48
411,200.00,200
412,200.00,200
413,110.00,121
414,155.00,166
415,4.00,15
416,78.00,89
417,25.00,36
418,177.00,188
419,76.00,87
420,46.00,57
421,8.00,19
422,76.00,87
423,68.00,79
424,200.00,200
425,68.00,79
426,9.00,20
427,159.00,170
428,36.00,47
429,0.00,11
430,200.00,200
431,81.00,92
432,200.00,200
433,200.00,200
434,110.00,121
435,200.00,200
436,46.00,57
437,45.00,56
438,137.00,148
439,21.00,32
440,50.00,61
441,102.00,113
442,-3.00,8
443,200.00,200
444,33.00,44
445,85.00,96
446,200.00,200
447,83.00,94
448,200.00,200
449,200.00,200
450,158.00,169
451,173.00,184
452,101.00,112
453,200.00,200
454,154.00,165
455,200.00,200
456,200.00,200
457,104.00,115
458,37.00,48
459,200.00,200
460,67.00,78
461,200.00,200
462,100.00,111
463,50.00,61
464,200.00,200
465,64.00,75
466,6.00,17
467,70.00,81
468,20.00,31
469,84.00,95
470,179.00,190
471,59.00,70
472,200.00,200
473,53.00,64
474,200.00,200
475,200.00,200
476,159.00,170
477,200.00,200
478,200.00,200
479,84.00,95
480,107.00,118
481,165.00,176
482,200.00,200
483,200.00,200
484,36.00,47
485,16.00,27
486,90.00,101
487,22.00,33
488,200.00,200
489,77.00,88
490,75.00,86
491,10.00,21
492,150.00,161
493,65.00,76
494,99.00,110
495,200.00,200
496,200.00,200
497,200.00,200
498,200.00,200
499,200.00,200
500,200.00,200
501,25.00,36
502,200.00,200
503,200.00,200
504,200.00,200
505,200.00,200
506,127.00,138
507,86.00,97
508,116.00,127
509,70.00,81
510,189.00,200
511,200.00,200
512,40.00,51
513,200.00,200
514,200.00,200
515,77.00,88
516,100.00,111
517,17.00,28
518,200.00,200
519,185.00,196
520,200.00,200
521,74.00,85
522,200.00,200
523,181.00,192
524,200.00,200
525,10.00,21
526,104.00,115
527,200.00,200
528,111.00,122
529,45.00,56
530,170.00,181
531,200.00,200
532,88.00,99
533,131.00,142
534,200.00,200
535,200.00,200
536,61.00,72
537,200.00,200
538,149.00,160
539,200.00,200
540,151.00,162
541,200.00,200
542,125.00,136
543,200.00,200
544,151.00,162
545,200.00,200
546,200.00,200
547,200.00,200
548,200.00,200
549,200.00,200
550,200.00,200
551,200.00,200
552,200.00,200
553,200.00,200
554,200.00,200
555,200.00,200
556,200.00,200
557,200.00,200
558,108.00,119
559,200.00,200
560,200.00,200
561,200.00,200
562,167.00,178
563,200.00,200
564,200.00,200
565,35.00,46
566,14.00,25
567,200.00,200
568,200.00,200
569,200.00,200
570,200.00,200
571,200.00,200
572,200.00,200
573,71.00,82
574,200.00,200
575,52.00,63
576,72.00,83
577,130.00,141
578,183.00,194
579,200.00,200
580,129.00,140
581,200.00,200
582,97.00,108
583,20.00,31
584,200.00,200
585,119.00,130
586,200.00,200
587,200.00,200
588,200.00,200
589,200.00,200
590,200.00,200
591,200.00,200
592,200.00,200
593,200.00,200
594,200.00,200
595,104.00,115
596,200.00,200
597,200.00,200
598,200.00,200
599,51.00,62
600,137.00,148
601,200.00,200
602,200.00,200
603,200.00,200
604,200.00,200
605,36.00,47
606,200.00,200
607,136.00,147
608,200.00,200
609,200.00,200
610,144.00,155
611,23.00,34
612,200.00,200
613,200.00,200
614,200.00,200
615,200.00,200
616,200.00,200
617,151.00,162
618,29.00,40
619,200.00,200
620,200.00,200
621,129.00,140
622,200.00,200
623,200.00,200
624,200.00,200
625,200.00,200
626,200.00,200
627,200.00,200
628,200.00,200
629,200.00,200
630,200.00,200
631,113.00,124
632,15.00,26
633,200.00,200
634,200.00,200
635,189.00,200
636,10.00,21
637,200.00,200
638,48.00,59
639,200.00,200
640,200.00,200
641,200.00,200
642,200.00,200
643,90.00,101
644,200.00,200
645,71.00,82
646,200.00,200
647,200.00,200
648,200.00,200
649,82.00,93
650,200.00,200
651,200.00,200
652,200.00,200
653,143.00,154
654,200.00,200
655,200.00,200
656,200.00,200
657,200.00,200
658,200.00,200
659,200.00,200
660,200.00,200
661,200.00,200
662,200.00,200
663,169.00,180
664,63.00,74
665,200.00,200
666,189.00,200
667,51.00,62
668,200.00,200
669,200.00,200
670,200.00,200
671,200.00,200
672,200.00,200
673,200.00,200
674,160.00,171
675,200.00,200
676,200.00,200
677,200.00,200
678,200.00,200
679,200.00,200
680,200.00,200
681,126.00,137
682,200.00,200
683,75.00,86
684,200.00,200
685,200.00,200
686,69.00,80
687,200.00,200
688,200.00,200
689,184.00,195
690,118.00,129
691,200.00,200
692,200.00,200
693,200.00,200
694,173.00,184
695,64.00,75
696,200.00,200
697,200.00,200
698,98.00,109
699,53.00,64
700,84.00,95
701,200.00,200
702,200.00,200
703,200.00,200
704,4.00,15
705,200.00,200
706,200.00,200
707,51.00,62
708,200.00,200
709,200.00,200
710,200.00,200
711,200.00,200
712,77.00,88
713,200.00,200
714,46.00,57
715,123.00,134
716,200.00,200
717,200.00,200
718,200.00,200
719,200.00,200
720,200.00,200
721,200.00,200
722,200.00,200
723,126.00,137
724,184.00,195
725,200.00,200
726,160.00,171
727,141.00,152
728,30.00,41
729,106.00,117
730,200.00,200
731,200.00,200
732,200.00,200
733,200.00,200
734,200.00,200
735,200.00,200
736,23.00,34
737,200.00,200
738,200.00,200
739,174.00,185
740,200.00,200
741,200.00,200
742,200.00,200
743,42.00,53
744,200.00,200
745,37.00,48
746,200.00,200
747,111.00,122
748,200.00,200
749,45.00,56
750,70.00,81
751,200.00,200
752,200.00,200
753,111.00,122
754,109.00,120
755,200.00,200
756,200.00,200
757,20.00,31
758,200.00,200
759,200.00,200
760,123.00,134
761,200.00,200
762,49.00,60
763,118.00,129
764,200.00,200
765,200.00,200
766,85.00,96
767,200.00,200
768,200.00,200
769,53.00,64
770,101.00,112
771,200.00,200
772,19.00,30
773,200.00,200
774,200.00,200
775,121.00,132
776,138.00,149
777,175.00,186
778,200.00,200
779,110.00,121
780,125.00,136
781,200.00,200
782,200.00,200
783,200.00,200
784,200.00,200
785,200.00,200
786,200.00,200
787,127.00,138
788,200.00,200
789,200.00,200
790,200.00,200
791,200.00,200
792,80.00,91
793,200.00,200
794,78.00,89
795,200.00,200
796,119.00,130
797,133.00,144
798,200.00,200
799,200.00,200
800,200.00,200
801,115.00,126
802,75.00,86
803,200.00,200
