episode,reward,steps_survived
1650,68.00,79
1651,6.00,17
1652,44.00,55
1653,42.00,53
1654,189.00,200
1655,87.00,98
1656,8.00,19
1657,67.00,78
1658,50.00,61
1659,178.00,189
1660,33.00,44
1661,15.00,26
1662,16.00,27
1663,-4.00,7
1664,110.00,121
1665,103.00,114
1666,41.00,52
1667,64.00,75
1668,43.00,54
1669,200.00,200
1670,132.00,143
1671,36.00,47
1672,95.00,106
1673,0.00,11
1674,70.00,81
1675,200.00,200
1676,200.00,200
1677,200.00,200
1678,200.00,200
1679,12.00,23
1680,16.00,27
1681,54.00,65
1682,84.00,95
1683,27.00,38
1684,18.00,29
1685,101.00,112
1686,43.00,54
1687,175.00,186
1688,68.00,79
1689,98.00,109
1690,200.00,200
1691,-2.00,9
1692,44.00,55
1693,6.00,17
1694,107.00,118
1695,5.00,16
1696,123.00,134
1697,2.00,13
1698,200.00,200
1699,19.00,30
1700,29.00,40
1701,156.00,167
1702,15.00,26
1703,200.00,200
1704,200.00,200
1705,185.00,196
1706,146.00,157
1707,200.00,200
1708,37.00,48
1709,0.00,11
1710,79.00,90
1711,9.00,20
1712,200.00,200
1713,77.00,88
1714,80.00,91
1715,200.00,200
1716,0.00,11
1717,-1.00,10
1718,153.00,164
1719,6.00,17
1720,34.00,45
1721,-1.00,10
1722,8.00,19
1723,15.00,26
1724,70.00,81
1725,2.00,13
1726,66.00,77
1727,6.00,17
1728,34.00,45
1729,50.00,61
1730,29.00,40
1731,160.00,171
1732,24.00,35
1733,7.00,18
1734,38.00,49
1735,85.00,96
1736,51.00,62
1737,86.00,97
1738,36.00,47
1739,6.00,17
1740,109.00,120
1741,200.00,200
1742,141.00,152
1743,19.00,30
1744,117.00,128
1745,177.00,188
1746,-2.00,9
1747,73.00,84
1748,42.00,53
1749,18.00,29
1750,83.00,94
1751,200.00,200
1752,13.00,24
1753,16.00,27
1754,26.00,37
1755,110.00,121
1756,200.00,200
1757,200.00,200
1758,200.00,200
1759,38.00,49
1760,200.00,200
1761,42.00,53
1762,200.00,200
1763,36.00,47
1764,200.00,200
1765,159.00,170
1766,35.00,46
1767,200.00,200
1768,200.00,200
1769,200.00,200
1770,145.00,156
1771,200.00,200
1772,200.00,200
1773,200.00,200
1774,200.00,200
1775,-1.00,10
1776,200.00,200
1777,18.00,29
1778,51.00,62
1779,31.00,42
1780,69.00,80
1781,-1.00,10
1782,150.00,161
1783,8.00,19
1784,103.00,114
1785,27.00,38
1786,-3.00,8
1787,-3.00,8
1788,25.00,36
1789,65.00,76
1790,140.00,151
1791,8.00,19
1792,29.00,40
1793,30.00,41
1794,38.00,49
1795,200.00,200
1796,180.00,191
1797,63.00,74
1798,200.00,200
1799,130.00,141
1800,107.00,118
1801,200.00,200
1802,15.00,26
1803,200.00,200
1804,200.00,200
1805,200.00,200
1806,69.00,80
1807,-2.00,9
1808,200.00,200
1809,200.00,200
1810,200.00,200
1811,200.00,200
1812,200.00,200
1813,22.00,33
1814,34.00,45
1815,200.00,200
1816,200.00,200
1817,200.00,200
1818,200.00,200
1819,200.00,200
1820,1.00,12
1821,200.00,200
1822,200.00,200
1823,200.00,200
1824,-3.00,8
1825,15.00,26
1826,200.00,200
1827,109.00,120
1828,200.00,200
1829,3.00,14
1830,58.00,69
1831,167.00,178
1832,200.00,200
1833,0.00,11
1834,200.00,200
1835,128.00,139
1836,200.00,200
1837,200.00,200
1838,-2.00,9
1839,45.00,56
1840,129.00,140
1841,82.00,93
1842,200.00,200
1843,59.00,70
1844,200.00,200
1845,200.00,200
1846,200.00,200
1847,200.00,200
1848,117.00,128
1849,200.00,200
1850,54.00,65
1851,-1.00,10
1852,25.00,36
1853,102.00,113
1854,-2.00,9
1855,15.00,26
1856,200.00,200
1857,200.00,200
1858,-1.00,10
1859,28.00,39
1860,27.00,38
1861,168.00,179
1862,55.00,66
1863,48.00,59
1864,144.00,155
1865,49.00,60
1866,119.00,130
1867,51.00,62
1868,-3.00,8
1869,200.00,200
1870,6.00,17
1871,85.00,96
1872,35.00,46
1873,59.00,70
1874,200.00,200
1875,42.00,53
1876,17.00,28
1877,3.00,14
1878,20.00,31
1879,68.00,79
1880,-1.00,10
1881,105.00,116
1882,150.00,161
1883,1.00,12
1884,-2.00,9
1885,73.00,84
1886,133.00,144
1887,99.00,110
1888,58.00,69
1889,200.00,200
1890,200.00,200
1891,20.00,31
1892,80.00,91
1893,36.00,47
1894,13.00,24
1895,8.00,19
1896,59.00,70
1897,10.00,21
1898,-2.00,9
1899,15.00,26
1900,70.00,81
1901,41.00,52
1902,94.00,105
1903,119.00,130
1904,52.00,63
1905,7.00,18
1906,76.00,87
1907,21.00,32
1908,103.00,114
1909,14.00,25
1910,2.00,13
1911,0.00,11
1912,60.00,71
1913,6.00,17
1914,129.00,140
1915,36.00,47
1916,200.00,200
1917,100.00,111
1918,123.00,134
1919,163.00,174
1920,200.00,200
1921,13.00,24
1922,13.00,24
1923,34.00,45
1924,4.00,15
1925,33.00,44
1926,-1.00,10
1927,2.00,13
1928,0.00,11
1929,94.00,105
1930,54.00,65
1931,57.00,68
1932,-5.00,6
1933,72.00,83
1934,129.00,140
1935,158.00,169
1936,-4.00,7
1937,28.00,39
1938,7.00,18
1939,64.00,75
1940,29.00,40
1941,42.00,53
1942,130.00,141
1943,2.00,13
1944,9.00,20
1945,22.00,33
1946,94.00,105
1947,41.00,52
1948,37.00,48
1949,14.00,25
1950,200.00,200
1951,55.00,66
1952,200.00,200
1953,127.00,138
1954,48.00,59
1955,71.00,82
1956,115.00,126
1957,93.00,104
1958,200.00,200
1959,123.00,134
1960,12.00,23
1961,53.00,64
1962,68.00,79
1963,109.00,120
1964,200.00,200
1965,200.00,200
1966,99.00,110
1967,200.00,200
1968,181.00,192
1969,167.00,178
1970,200.00,200
1971,200.00,200
1972,200.00,200
1973,200.00,200
1974,200.00,200
1975,200.00,200
1976,200.00,200
1977,200.00,200
1978,200.00,200
1979,200.00,200
1980,200.00,200
1981,78.00,89
1982,72.00,83
1983,200.00,200
1984,200.00,200
1985,42.00,53
1986,200.00,200
1987,200.00,200
1988,81.00,92
1989,29.00,40
1990,33.00,44
1991,95.00,106
1992,14.00,25
1993,111.00,122
1994,120.00,131
1995,21.00,32
1996,22.00,33
1997,137.00,148
1998,200.00,200
1999,200.00,200
2000,116.00,127
