system:index,classification,.geo
54,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94009108010262]}"
55,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94009108010262]}"
56,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94009108010262]}"
57,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94009108010262]}"
58,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94009108010262]}"
59,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94009108010262]}"
60,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94009108010262]}"
61,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94009108010262]}"
62,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94009108010262]}"
63,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94009108010262]}"
64,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94009108010262]}"
65,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.940180911631025]}"
66,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.940180911631025]}"
67,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.940180911631025]}"
68,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.940180911631025]}"
69,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.940180911631025]}"
70,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.940180911631025]}"
71,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.940180911631025]}"
72,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.940180911631025]}"
73,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.940180911631025]}"
74,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.940180911631025]}"
75,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.940180911631025]}"
76,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.940180911631025]}"
77,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.940180911631025]}"
78,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.940180911631025]}"
79,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.940180911631025]}"
80,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.940180911631025]}"
81,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.940180911631025]}"
82,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.940180911631025]}"
83,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.940180911631025]}"
84,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.940180911631025]}"
85,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94027074315944]}"
86,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94027074315944]}"
87,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94027074315944]}"
88,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94027074315944]}"
89,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94027074315944]}"
90,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94027074315944]}"
91,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94027074315944]}"
92,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94027074315944]}"
93,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94027074315944]}"
94,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94027074315944]}"
95,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94027074315944]}"
96,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94027074315944]}"
97,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94027074315944]}"
98,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94027074315944]}"
99,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94027074315944]}"
100,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94027074315944]}"
101,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94027074315944]}"
102,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94027074315944]}"
103,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94027074315944]}"
104,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.94027074315944]}"
105,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.94027074315944]}"
106,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.94027074315944]}"
107,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.94036057468785]}"
108,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94036057468785]}"
109,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94036057468785]}"
110,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94036057468785]}"
111,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94036057468785]}"
112,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94036057468785]}"
113,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94036057468785]}"
114,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94036057468785]}"
115,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94036057468785]}"
116,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94036057468785]}"
117,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94036057468785]}"
118,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94036057468785]}"
119,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94036057468785]}"
120,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94036057468785]}"
121,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94036057468785]}"
122,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94036057468785]}"
123,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94036057468785]}"
124,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94036057468785]}"
125,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94036057468785]}"
126,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94036057468785]}"
127,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.94036057468785]}"
128,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.94036057468785]}"
129,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.94036057468785]}"
130,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.94036057468785]}"
131,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.94036057468785]}"
132,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.940450406216264]}"
133,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.940450406216264]}"
134,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.940450406216264]}"
135,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.940450406216264]}"
136,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.940450406216264]}"
137,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.940450406216264]}"
138,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.940450406216264]}"
139,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.940450406216264]}"
140,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.940450406216264]}"
141,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.940450406216264]}"
142,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.940450406216264]}"
143,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.940450406216264]}"
144,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.940450406216264]}"
145,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.940450406216264]}"
146,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.940450406216264]}"
147,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.940450406216264]}"
148,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.940450406216264]}"
149,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.940450406216264]}"
150,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.940450406216264]}"
151,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.940450406216264]}"
152,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.940450406216264]}"
153,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.940450406216264]}"
154,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.940450406216264]}"
155,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91611229040709,50.940450406216264]}"
156,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9162021219355,50.940450406216264]}"
157,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91629195346391,50.940450406216264]}"
158,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.940450406216264]}"
159,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.94054023774468]}"
160,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.94054023774468]}"
161,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94054023774468]}"
162,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94054023774468]}"
