system:index,classification,.geo
54,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94009108010262]}"
55,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94009108010262]}"
56,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94009108010262]}"
57,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94009108010262]}"
58,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94009108010262]}"
59,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94009108010262]}"
60,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94009108010262]}"
61,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94009108010262]}"
62,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94009108010262]}"
63,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94009108010262]}"
64,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94009108010262]}"
65,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.940180911631025]}"
66,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.940180911631025]}"
67,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.940180911631025]}"
68,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.940180911631025]}"
69,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.940180911631025]}"
70,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.940180911631025]}"
71,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.940180911631025]}"
72,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.940180911631025]}"
73,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.940180911631025]}"
74,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.940180911631025]}"
75,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.940180911631025]}"
76,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.940180911631025]}"
77,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.940180911631025]}"
78,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.940180911631025]}"
79,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.940180911631025]}"
80,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.940180911631025]}"
81,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.940180911631025]}"
82,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.940180911631025]}"
83,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.940180911631025]}"
84,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.940180911631025]}"
85,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94027074315944]}"
86,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94027074315944]}"
87,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94027074315944]}"
88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94027074315944]}"
89,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94027074315944]}"
90,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94027074315944]}"
91,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94027074315944]}"
92,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94027074315944]}"
93,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94027074315944]}"
94,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94027074315944]}"
95,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94027074315944]}"
96,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.94027074315944]}"
97,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91521397512297,50.94027074315944]}"
98,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91530380665138,50.94027074315944]}"
99,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9153936381798,50.94027074315944]}"
100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9154834697082,50.94027074315944]}"
101,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91557330123662,50.94027074315944]}"
102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91566313276503,50.94027074315944]}"
103,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91575296429345,50.94027074315944]}"
104,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91584279582186,50.94027074315944]}"
105,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91593262735026,50.94027074315944]}"
106,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91602245887867,50.94027074315944]}"
107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.94036057468785]}"
108,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94036057468785]}"
109,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94036057468785]}"
110,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94036057468785]}"
