system:index,B2,B3,B4,B8,NDVI,cluster,.geo
17606,564.0,810.0,914.0,2204.0,0.41372675,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91880723625945,50.951409852682524]}"
17607,576.0,811.0,907.0,2106.0,0.39794225,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91889706778785,50.951409852682524]}"
17608,576.0,811.0,907.0,2106.0,0.39794225,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91898689931627,50.951409852682524]}"
17609,460.0,686.0,630.0,2298.0,0.5696721,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91907673084468,50.951409852682524]}"
17610,398.0,628.0,512.0,2376.0,0.6454294,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91916656237309,50.951409852682524]}"
17611,398.0,628.0,512.0,2376.0,0.6454294,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9192563939015,50.951409852682524]}"
17612,435.0,668.0,579.0,2404.0,0.6118002,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91934622542992,50.951409852682524]}"
17613,430.0,664.0,584.0,2354.0,0.60245067,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91943605695833,50.951409852682524]}"
17614,430.0,664.0,584.0,2354.0,0.60245067,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91952588848675,50.951409852682524]}"
17615,522.0,778.0,828.0,2158.0,0.44541192,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91961572001516,50.951409852682524]}"
17616,630.0,860.0,966.0,2152.0,0.38037205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91970555154357,50.951409852682524]}"
17617,630.0,860.0,966.0,2152.0,0.38037205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91979538307199,50.951409852682524]}"
17618,569.0,816.0,896.0,2098.0,0.40146962,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91988521460038,50.951409852682524]}"
17619,569.0,816.0,896.0,2098.0,0.40146962,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9199750461288,50.951409852682524]}"
17620,488.0,728.0,695.0,2114.0,0.505162,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92006487765721,50.951409852682524]}"
17621,451.0,659.0,568.0,2164.0,0.5841874,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92015470918562,50.951409852682524]}"
17622,451.0,659.0,568.0,2164.0,0.5841874,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92024454071404,50.951409852682524]}"
17623,428.0,664.0,576.0,2256.0,0.59322035,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92033437224245,50.951409852682524]}"
17624,500.0,744.0,752.0,2378.0,0.5194888,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92042420377086,50.951409852682524]}"
17625,500.0,744.0,752.0,2378.0,0.5194888,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92051403529928,50.951409852682524]}"
17626,556.0,783.0,844.0,2256.0,0.45548388,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92060386682769,50.951409852682524]}"
17627,556.0,783.0,844.0,2256.0,0.45548388,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9206936983561,50.951409852682524]}"
17628,440.0,725.0,681.0,2276.0,0.539398,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92078352988452,50.951409852682524]}"
17629,388.0,682.0,502.0,2352.0,0.648213,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92087336141293,50.951409852682524]}"
17630,388.0,682.0,502.0,2352.0,0.648213,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92096319294133,50.951409852682524]}"
17631,374.0,684.0,492.0,2384.0,0.65785813,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92105302446974,50.951409852682524]}"
17632,460.0,723.0,704.0,2266.0,0.52592593,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92114285599816,50.951409852682524]}"
17633,460.0,723.0,704.0,2266.0,0.52592593,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92123268752657,50.951409852682524]}"
17634,530.0,770.0,802.0,2080.0,0.44344205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92132251905498,50.951409852682524]}"
17635,460.0,704.0,703.0,2026.0,0.48479298,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9214123505834,50.951409852682524]}"
17636,460.0,704.0,703.0,2026.0,0.48479298,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92150218211181,50.951409852682524]}"
17637,395.0,642.0,516.0,2180.0,0.6172107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92159201364022,50.951409852682524]}"
17638,395.0,642.0,516.0,2180.0,0.6172107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92168184516864,50.951409852682524]}"
17639,392.0,684.0,514.0,2210.0,0.6226138,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92177167669705,50.951409852682524]}"
17640,466.0,718.0,693.0,2114.0,0.5062344,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92186150822546,50.951409852682524]}"
17641,466.0,718.0,693.0,2114.0,0.5062344,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92195133975386,50.951409852682524]}"
17642,578.0,824.0,880.0,2104.0,0.41018766,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92204117128227,50.951409852682524]}"
17643,580.0,858.0,900.0,2020.0,0.38356164,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92213100281069,50.951409852682524]}"
17644,580.0,858.0,900.0,2020.0,0.38356164,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9222208343391,50.951409852682524]}"
17645,456.0,682.0,700.0,2072.0,0.4949495,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92231066586751,50.951409852682524]}"
17646,456.0,682.0,700.0,2072.0,0.4949495,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92240049739593,50.951409852682524]}"
17647,373.0,597.0,489.0,2396.0,0.6610052,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92249032892434,50.951409852682524]}"
17648,353.0,616.0,459.0,2614.0,0.7012691,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92258016045275,50.951409852682524]}"
17649,353.0,616.0,459.0,2614.0,0.7012691,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92266999198117,50.951409852682524]}"
17650,466.0,703.0,701.0,2522.0,0.56500155,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92275982350958,50.951409852682524]}"
17651,573.0,828.0,926.0,2248.0,0.41650915,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.922849655038,50.951409852682524]}"
17652,573.0,828.0,926.0,2248.0,0.41650915,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92293948656639,50.951409852682524]}"
17653,576.0,831.0,910.0,2232.0,0.42075112,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9230293180948,50.951409852682524]}"
17654,576.0,831.0,910.0,2232.0,0.42075112,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92311914962322,50.951409852682524]}"
17655,558.0,804.0,904.0,2076.0,0.39328858,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92320898115163,50.951409852682524]}"
17656,474.0,698.0,680.0,2112.0,0.512894,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92329881268004,50.951409852682524]}"
17657,474.0,698.0,680.0,2112.0,0.512894,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92338864420846,50.951409852682524]}"
17658,424.0,634.0,560.0,2166.0,0.5891416,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92347847573687,50.951409852682524]}"
17659,445.0,641.0,608.0,2238.0,0.57273364,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92356830726528,50.951409852682524]}"
17660,445.0,641.0,608.0,2238.0,0.57273364,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9236581387937,50.951409852682524]}"
17661,534.0,774.0,836.0,2208.0,0.45072272,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92374797032211,50.951409852682524]}"
17662,596.0,844.0,944.0,2120.0,0.383812,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92383780185052,50.951409852682524]}"
17663,596.0,844.0,944.0,2120.0,0.383812,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92392763337892,50.951409852682524]}"
17664,452.0,683.0,690.0,2136.0,0.51167727,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92401746490734,50.951409852682524]}"
17665,452.0,683.0,690.0,2136.0,0.51167727,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92410729643575,50.951409852682524]}"
17666,350.0,594.0,452.0,2330.0,0.6750539,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92419712796416,50.951409852682524]}"
17667,369.0,652.0,468.0,2540.0,0.6888298,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92428695949258,50.951409852682524]}"
17668,369.0,652.0,468.0,2540.0,0.6888298,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92437679102099,50.951409852682524]}"
17669,469.0,730.0,710.0,2338.0,0.53412074,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9244666225494,50.951409852682524]}"
17670,577.0,820.0,903.0,2150.0,0.4084507,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92455645407782,50.951409852682524]}"
17671,577.0,820.0,903.0,2150.0,0.4084507,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92464628560623,50.951409852682524]}"
17672,481.0,731.0,746.0,2192.0,0.49217156,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.92473611713464,50.951409852682524]}"
